               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.024749,            0.027598,           0.0020969,             0.97452,             0.95739,             0.97606,             0.76513,            0.016305,            0.022135,           0.0010722,           0.0093245,           0.0093245,           0.0093245
                  55,            0.024701,            0.027379,           0.0020861,             0.97394,             0.95833,             0.97614,             0.76578,            0.016245,            0.022068,           0.0010701,           0.0092995,           0.0092995,           0.0092995
                  56,            0.024623,            0.027264,           0.0020935,             0.97464,             0.95808,             0.97625,             0.76638,            0.016186,            0.022004,           0.0010679,            0.009274,            0.009274,            0.009274
                  57,            0.024546,             0.02721,           0.0020759,             0.97317,             0.95979,             0.97633,             0.76744,             0.01613,            0.021941,           0.0010657,           0.0092481,           0.0092481,           0.0092481
                  58,            0.024615,            0.027267,           0.0020852,             0.97423,             0.95908,             0.97639,             0.76851,            0.016075,             0.02188,           0.0010639,           0.0092219,           0.0092219,           0.0092219
                  59,            0.024566,            0.027202,           0.0020894,             0.97433,             0.95934,             0.97645,             0.76928,            0.016024,            0.021824,           0.0010623,           0.0091952,           0.0091952,           0.0091952
                  60,            0.024483,            0.027148,           0.0020852,              0.9749,             0.95917,             0.97651,             0.76994,            0.015969,            0.021762,           0.0010605,           0.0091681,           0.0091681,           0.0091681
                  61,            0.024461,            0.027019,           0.0020836,             0.97416,             0.96022,             0.97658,             0.77085,            0.015916,            0.021697,           0.0010585,           0.0091406,           0.0091406,           0.0091406
                  62,            0.024374,            0.027109,           0.0020692,              0.9743,             0.96041,             0.97662,             0.77202,            0.015859,             0.02163,           0.0010565,           0.0091127,           0.0091127,           0.0091127
                  63,            0.024375,            0.026948,           0.0020816,             0.97453,             0.96057,             0.97671,              0.7728,            0.015804,            0.021567,           0.0010546,           0.0090844,           0.0090844,           0.0090844
                  64,            0.024387,            0.026946,           0.0020749,             0.97547,             0.96016,             0.97679,              0.7737,            0.015748,            0.021507,            0.001053,           0.0090557,           0.0090557,           0.0090557
                  65,            0.024281,            0.026828,           0.0020598,             0.97537,             0.96054,             0.97684,             0.77452,            0.015697,            0.021449,           0.0010513,           0.0090266,           0.0090266,           0.0090266
                  66,            0.024193,            0.026963,           0.0020574,             0.97524,             0.96104,             0.97689,             0.77536,            0.015645,             0.02139,           0.0010493,           0.0089972,           0.0089972,           0.0089972
                  67,            0.024196,            0.026939,           0.0020616,              0.9756,             0.96097,             0.97695,             0.77651,            0.015592,            0.021328,           0.0010472,           0.0089673,           0.0089673,           0.0089673
                  68,             0.02428,            0.027003,            0.002067,             0.97615,             0.96082,             0.97699,             0.77711,            0.015542,            0.021273,           0.0010452,           0.0089371,           0.0089371,           0.0089371
                  69,            0.024175,            0.026982,           0.0020651,             0.97593,             0.96142,             0.97709,             0.77796,            0.015492,            0.021215,           0.0010434,           0.0089065,           0.0089065,           0.0089065
                  70,            0.024109,            0.026764,           0.0020454,             0.97587,              0.9619,             0.97715,             0.77852,             0.01544,            0.021159,           0.0010417,           0.0088755,           0.0088755,           0.0088755
                  71,            0.024178,            0.026846,           0.0020655,             0.97636,             0.96173,             0.97721,             0.77915,            0.015394,            0.021107,             0.00104,           0.0088442,           0.0088442,           0.0088442
                  72,            0.024107,             0.02678,           0.0020689,             0.97675,             0.96161,             0.97726,             0.78004,             0.01535,            0.021053,           0.0010381,           0.0088124,           0.0088124,           0.0088124
                  73,            0.024026,            0.026603,           0.0020504,             0.97681,             0.96181,             0.97732,              0.7812,            0.015305,            0.020997,           0.0010362,           0.0087804,           0.0087804,           0.0087804
                  74,            0.024075,            0.026763,           0.0020659,             0.97759,             0.96141,              0.9774,             0.78222,            0.015258,             0.02094,           0.0010344,           0.0087479,           0.0087479,           0.0087479
                  75,            0.024058,            0.026839,           0.0020514,             0.97814,             0.96109,             0.97744,             0.78282,            0.015212,            0.020886,           0.0010327,           0.0087151,           0.0087151,           0.0087151
                  76,            0.023878,            0.026536,           0.0020418,             0.97844,             0.96111,              0.9775,             0.78341,            0.015164,            0.020831,           0.0010311,            0.008682,            0.008682,            0.008682
                  77,            0.023828,            0.026573,           0.0020335,             0.97763,             0.96217,             0.97755,               0.784,            0.015121,            0.020778,           0.0010297,           0.0086485,           0.0086485,           0.0086485
                  78,            0.023792,            0.026441,           0.0020222,             0.97766,             0.96235,             0.97761,             0.78444,            0.015079,            0.020728,           0.0010281,           0.0086146,           0.0086146,           0.0086146
                  79,            0.023823,            0.026504,           0.0020282,             0.97842,             0.96184,             0.97764,             0.78547,            0.015037,            0.020675,           0.0010264,           0.0085805,           0.0085805,           0.0085805
                  80,            0.023763,            0.026732,           0.0020164,             0.97877,             0.96168,             0.97768,             0.78615,            0.014993,            0.020623,           0.0010249,           0.0085459,           0.0085459,           0.0085459
                  81,            0.023724,            0.026188,           0.0020301,             0.97768,             0.96303,             0.97774,             0.78666,            0.014952,            0.020571,           0.0010232,           0.0085111,           0.0085111,           0.0085111
                  82,            0.023753,            0.026159,           0.0020362,             0.97754,             0.96339,             0.97778,             0.78725,            0.014913,            0.020523,           0.0010214,           0.0084759,           0.0084759,           0.0084759
                  83,            0.023687,             0.02627,           0.0020313,             0.97824,             0.96293,              0.9778,             0.78794,            0.014874,            0.020475,           0.0010199,           0.0084404,           0.0084404,           0.0084404
                  84,            0.023668,            0.026308,           0.0020115,             0.97896,             0.96249,             0.97783,             0.78859,            0.014835,            0.020427,           0.0010184,           0.0084046,           0.0084046,           0.0084046
                  85,            0.023612,            0.026234,           0.0020445,             0.97931,             0.96241,             0.97799,             0.78941,            0.014798,            0.020382,           0.0010169,           0.0083684,           0.0083684,           0.0083684
                  86,            0.023593,            0.026299,           0.0020316,             0.97892,             0.96306,             0.97808,             0.79031,             0.01476,            0.020336,           0.0010155,           0.0083319,           0.0083319,           0.0083319
                  87,             0.02357,            0.026137,            0.002024,             0.97834,             0.96387,             0.97876,             0.79104,            0.014721,            0.020288,           0.0010138,           0.0082952,           0.0082952,           0.0082952
                  88,            0.023538,            0.026051,            0.002024,             0.97857,             0.96388,             0.97874,             0.79164,            0.014683,            0.020242,           0.0010122,           0.0082581,           0.0082581,           0.0082581
                  89,             0.02349,            0.026122,           0.0020153,             0.97896,             0.96375,             0.97906,             0.79209,            0.014645,            0.020196,           0.0010105,           0.0082207,           0.0082207,           0.0082207
                  90,            0.023481,            0.026087,           0.0019979,              0.9798,             0.96317,             0.97927,             0.79265,            0.014607,             0.02015,           0.0010092,            0.008183,            0.008183,            0.008183
                  91,            0.023522,             0.02609,           0.0020297,             0.97907,             0.96411,             0.97936,             0.79336,            0.014569,            0.020103,           0.0010077,            0.008145,            0.008145,            0.008145
                  92,            0.023528,            0.026073,           0.0020411,             0.97953,             0.96392,             0.97945,              0.7938,            0.014533,            0.020058,           0.0010062,           0.0081068,           0.0081068,           0.0081068
                  93,            0.023371,            0.026097,           0.0020071,             0.97923,             0.96442,             0.97948,             0.79429,            0.014499,            0.020013,            0.001005,           0.0080682,           0.0080682,           0.0080682
